num,title,year,img,rate,vote,url,id,file,imdb
1,肖申克的救赎,1994,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg,9.7,2921219人评价,https://movie.douban.com/subject/1292052/,tt0111161,D:\T\Documents\VSCode\js\media\top250\douban\douban-1.html,1
2,霸王别姬,1993,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg,9.6,2156584人评价,https://movie.douban.com/subject/1291546/,tt0106332,D:\T\Documents\VSCode\js\media\top250\douban\douban-2.html,
3,阿甘正传,1994,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg,9.5,2177786人评价,https://movie.douban.com/subject/1292720/,tt0109830,D:\T\Documents\VSCode\js\media\top250\douban\douban-3.html,11
4,泰坦尼克号,1997,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2896604953.jpg,9.5,2210336人评价,https://movie.douban.com/subject/1292722/,tt0120338,D:\T\Documents\VSCode\js\media\top250\douban\douban-4.html,
5,这个杀手不太冷,1994,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg,9.4,2311121人评价,https://movie.douban.com/subject/1295644/,tt0110413,D:\T\Documents\VSCode\js\media\top250\douban\douban-5.html,38
6,千与千寻,2001,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg,9.4,2261694人评价,https://movie.douban.com/subject/1291561/,tt0245429,D:\T\Documents\VSCode\js\media\top250\douban\douban-6.html,32
7,美丽人生,1997,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg,9.6,1336048人评价,https://movie.douban.com/subject/1292063/,tt0118799,D:\T\Documents\VSCode\js\media\top250\douban\douban-7.html,27
8,星际穿越,2014,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg,9.4,1861737人评价,https://movie.douban.com/subject/1889243/,tt0816692,D:\T\Documents\VSCode\js\media\top250\douban\douban-8.html,24
9,辛德勒的名单,1993,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg,9.6,1114230人评价,https://movie.douban.com/subject/1295124/,tt0108052,D:\T\Documents\VSCode\js\media\top250\douban\douban-9.html,6
10,盗梦空间,2010,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p513344864.jpg,9.4,2081310人评价,https://movie.douban.com/subject/3541415/,tt1375666,D:\T\Documents\VSCode\js\media\top250\douban\douban-10.html,14
11,楚门的世界,1998,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg,9.4,1727831人评价,https://movie.douban.com/subject/1292064/,tt0120382,D:\T\Documents\VSCode\js\media\top250\douban\douban-11.html,137
12,忠犬八公的故事,2009,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg,9.4,1407839人评价,https://movie.douban.com/subject/3011091/,tt1028532,D:\T\Documents\VSCode\js\media\top250\douban\douban-12.html,232
13,海上钢琴师,1998,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg,9.3,1689661人评价,https://movie.douban.com/subject/1292001/,tt0120731,D:\T\Documents\VSCode\js\media\top250\douban\douban-13.html,
