num,title,id,year,time,limit,img,rate,vote,url,douban
1,The Shawshank Redemption,tt0111161,1994,2h 22m,R,"https://m.media-amazon.com/images/M/MV5BNDE3ODcxYzMtY2YzZC00NmNlLWJiNDMtZDViZWM2MzIxZDYwXkEyXkFqcGdeQXVyNjAwNDUxODI@._V1_QL75_UX140_CR0,1,140,207_.jpg",9.3,2.8M,https://www.imdb.com/title/tt0111161,1
2,The Godfather,tt0068646,1972,2h 55m,R,"https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR3,0,140,207_.jpg",9.2,1.9M,https://www.imdb.com/title/tt0068646,22
3,The Dark Knight,tt0468569,2008,2h 32m,PG-13,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX140_CR0,0,140,207_.jpg",9.0,2.8M,https://www.imdb.com/title/tt0468569,30
4,The Godfather Part II,tt0071562,1974,3h 22m,R,"https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR3,0,140,207_.jpg",9.0,1.3M,https://www.imdb.com/title/tt0071562,58
5,12 Angry Men,tt0050083,1957,1h 36m,Approved,"https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_QL75_UX140_CR0,4,140,207_.jpg",9.0,832K,https://www.imdb.com/title/tt0050083,38
6,Schindler's List,tt0108052,1993,3h 15m,R,"https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_QL75_UX140_CR0,1,140,207_.jpg",9.0,1.4M,https://www.imdb.com/title/tt0108052,9
7,The Lord of the Rings: The Return of the King,tt0167260,2003,3h 21m,PG-13,"https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UX140_CR0,0,140,207_.jpg",9.0,1.9M,https://www.imdb.com/title/tt0167260,32
8,Pulp Fiction,tt0110912,1994,2h 34m,R,"https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_QL75_UY207_CR1,0,140,207_.jpg",8.9,2.1M,https://www.imdb.com/title/tt0110912,87
9,The Lord of the Rings: The Fellowship of the Ring,tt0120737,2001,2h 58m,PG-13,"https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_QL75_UX140_CR0,0,140,207_.jpg",8.8,1.9M,https://www.imdb.com/title/tt0120737,56
10,"Il buono, il brutto, il cattivo",tt0060196,1966,2h 41m,Approved,"https://m.media-amazon.com/images/M/MV5BNjJlYmNkZGItM2NhYy00MjlmLTk5NmQtNjg1NmM2ODU4OTMwXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX140_CR0,1,140,207_.jpg",8.8,789K,https://www.imdb.com/title/tt0060196,
